0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
101,102,106,103,0,0,18,0,0,107,104,109,108
101,102,106,103,0,0,18,0,0,107,104,109,108
101,102,106,103,0,0,18,0,0,107,104,109,108
101,102,106,103,0,0,18,0,0,107,104,109,108
101,102,106,103,0,0,18,0,0,107,104,109,108
101,102,106,103,0,0,18,0,0,107,104,109,108
101,102,106,103,0,0,18,0,0,107,104,109,108
18,18,18,18,0,0,103,0,0,18,18,18,18
101,102,106,103,0,0,18,0,0,107,104,109,108
101,102,106,103,0,0,18,0,0,107,104,109,108
101,102,106,103,0,0,18,0,0,107,104,109,108
101,102,106,103,0,0,18,0,0,107,104,109,108
101,102,106,103,0,0,18,0,0,107,104,109,108
101,102,106,103,0,0,18,0,0,107,104,109,108
2,18,18,18,2,2,18,2,2,18,18,18,2
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
