0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,103,103,0,0,0,0,0,103,103,0,0
0,103,103,103,103,0,18,0,103,103,103,103,0
0,103,103,103,103,0,0,0,103,103,103,103,0
0,103,103,18,0,103,103,103,0,18,103,103,0
0,0,0,18,103,104,101,104,103,18,0,0,0
0,0,0,103,104,104,101,104,104,103,0,0,0
0,0,0,103,104,104,101,104,104,103,0,0,0
0,0,103,104,104,104,101,104,104,104,103,0,0
0,0,103,104,104,104,101,104,104,104,103,0,0
0,0,103,104,104,104,2,101,101,104,103,0,0
0,0,103,104,104,104,104,104,104,104,103,0,0
0,0,103,104,104,104,104,104,104,104,103,0,0
0,0,18,103,104,104,104,104,104,103,18,0,0
0,0,18,103,104,104,104,104,104,103,18,0,0
0,109,109,0,103,104,104,104,103,0,109,109,0
109,109,109,109,0,103,103,103,0,109,109,109,109
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
